"","setname","teamName","opponent","season","wonMatch","wonSet","serveErr","setErr","attackErr","freeballErr","ace","kill","stuffBlock","unforcedErrs","earnedPts"
"48","180908 CU vs NC 3-0s1","NC","CU","18","FALSE","FALSE",3,0,6,0,3,23,4,9,30
"49","180908 CU vs NC 3-0s2","CU","NC","CU 18","TRUE","TRUE",4,2,3,0,3,26,5,9,34
"50","180908 CU vs NC 3-0s2","NC","CU","18","FALSE","FALSE",4,2,3,0,3,26,5,9,34
"51","180908 CU vs NC 3-0s3","CU","NC","CU 18","TRUE","TRUE",2,2,8,1,3,26,3,13,32
"52","180908 CU vs NC 3-0s3","NC","CU","18","FALSE","FALSE",2,2,8,1,3,26,3,13,32
"53","180908 CU vs OK 3-0s1","CU","OK","CU 18","TRUE","TRUE",4,1,4,0,1,23,4,9,28
"54","180908 CU vs OK 3-0s1","OK","CU","18","FALSE","FALSE",4,1,4,0,1,23,4,9,28
"55","180908 CU vs OK 3-0s2","CU","OK","CU 18","TRUE","TRUE",4,0,7,0,6,29,4,11,39
"56","180908 CU vs OK 3-0s2","OK","CU","18","FALSE","FALSE",4,0,7,0,6,29,4,11,39
"57","180908 CU vs OK 3-0s3","CU","OK","CU 18","TRUE","TRUE",4,0,4,1,2,23,6,9,31
"58","180908 CU vs OK 3-0s3","OK","CU","18","FALSE","FALSE",4,0,4,1,2,23,6,9,31
"59","180914 CU vs Portland St 3-0s1","CU","Portland St","CU 18","TRUE","TRUE",4,1,4,0,4,21,2,9,27
"60","180914 CU vs Portland St 3-0s1","Portland St","CU","18","FALSE","FALSE",4,1,4,0,4,21,2,9,27
"61","180914 CU vs Portland St 3-0s2","CU","Portland St","CU 18","TRUE","TRUE",4,1,6,1,3,20,6,12,29
"62","180914 CU vs Portland St 3-0s2","Portland St","CU","18","FALSE","FALSE",4,1,6,1,3,20,6,12,29
"63","180914 CU vs Portland St 3-0s3","CU","Portland St","CU 18","TRUE","TRUE",6,1,7,1,2,23,4,15,29
"64","180914 CU vs Portland St 3-0s3","Portland St","CU","18","FALSE","FALSE",6,1,7,1,2,23,4,15,29
"65","180915 CU vs CO St 3-1s1","CO St","CU","18","FALSE","FALSE",6,1,5,0,4,31,7,12,42
"66","180915 CU vs CO St 3-1s1","CU","CO St","CU 18","TRUE","TRUE",6,1,5,0,4,31,7,12,42
"67","180915 CU vs CO St 3-1s2","CO St","CU","18","FALSE","FALSE",4,0,10,0,1,31,4,14,36
"68","180915 CU vs CO St 3-1s2","CU","CO St","CU 18","TRUE","TRUE",4,0,10,0,1,31,4,14,36
"69","180915 CU vs CO St 3-1s3","CO St","CU","18","FALSE","TRUE",6,0,7,1,3,23,4,14,30
"70","180915 CU vs CO St 3-1s3","CU","CO St","CU 18","TRUE","FALSE",6,0,7,1,3,23,4,14,30
"71","180915 CU vs CO St 3-1s4","CO St","CU","18","FALSE","FALSE",0,1,8,0,3,27,8,9,38
"72","180915 CU vs CO St 3-1s4","CU","CO St","CU 18","TRUE","TRUE",0,1,8,0,3,27,8,9,38
"73","180915 CU vs IN St 3-0s1","CU","IN St","CU 18","TRUE","TRUE",3,0,7,1,1,27,2,11,30
"74","180915 CU vs IN St 3-0s1","IN St","CU","18","FALSE","FALSE",3,0,7,1,1,27,2,11,30
"75","180915 CU vs IN St 3-0s2","CU","IN St","CU 18","TRUE","TRUE",1,3,8,0,0,26,5,12,31
"76","180915 CU vs IN St 3-0s2","IN St","CU","18","FALSE","FALSE",1,3,8,0,0,26,5,12,31
"77","180915 CU vs IN St 3-0s3","CU","IN St","CU 18","TRUE","TRUE",2,2,10,1,2,26,5,15,33
"78","180915 CU vs IN St 3-0s3","IN St","CU","18","FALSE","FALSE",2,2,10,1,2,26,5,15,33
"79","180919 CU vs UT 3-2s1","CU","UT","CU 18","TRUE","FALSE",4,2,8,0,2,26,3,14,31
"80","180919 CU vs UT 3-2s1","UT","CU","18","FALSE","TRUE",4,2,8,0,2,26,3,14,31
"81","180919 CU vs UT 3-2s2","CU","UT","CU 18","TRUE","TRUE",3,1,8,0,1,26,7,12,34
"82","180919 CU vs UT 3-2s2","UT","CU","18","FALSE","FALSE",3,1,8,0,1,26,7,12,34
"83","180919 CU vs UT 3-2s3","CU","UT","CU 18","TRUE","FALSE",5,0,2,0,3,22,6,7,31
"84","180919 CU vs UT 3-2s3","UT","CU","18","FALSE","TRUE",5,0,2,0,3,22,6,7,31
"85","180919 CU vs UT 3-2s4","CU","UT","CU 18","TRUE","TRUE",2,0,10,0,1,23,7,12,31
"86","180919 CU vs UT 3-2s4","UT","CU","18","FALSE","FALSE",2,0,10,0,1,23,7,12,31
"87","180919 CU vs UT 3-2s5","CU","UT","CU 18","TRUE","TRUE",2,0,4,0,2,19,1,6,22
"88","180919 CU vs UT 3-2s5","UT","CU","18","FALSE","FALSE",2,0,4,0,2,19,1,6,22
"89","190830 CU vs WY 3-0s1","CU","WY","CU 19","TRUE","TRUE",3,0,6,1,4,24,5,10,33
"90","190830 CU vs WY 3-0s1","WY","CU","19","FALSE","FALSE",3,0,6,1,4,24,5,10,33
"91","190830 CU vs WY 3-0s2","CU","WY","CU 19","TRUE","TRUE",2,1,11,0,1,29,4,14,34
"92","190830 CU vs WY 3-0s2","WY","CU","19","FALSE","FALSE",2,1,11,0,1,29,4,14,34
"93","190830 CU vs WY 3-0s3","CU","WY","CU 19","TRUE","TRUE",6,0,5,0,2,24,10,11,36
"94","190830 CU vs WY 3-0s3","WY","CU","19","FALSE","FALSE",6,0,5,0,2,24,10,11,36
"95","190831 CU vs LIU 3-0s1","CU","LIU","CU 19","TRUE","TRUE",8,0,10,1,0,23,4,19,27
"96","190831 CU vs LIU 3-0s1","LIU","CU","19","FALSE","FALSE",8,0,10,1,0,23,4,19,27
"97","190831 CU vs LIU 3-0s2","CU","LIU","CU 19","TRUE","TRUE",3,1,7,0,4,20,5,11,29
"98","190831 CU vs LIU 3-0s2","LIU","CU","19","FALSE","FALSE",3,1,7,0,4,20,5,11,29
"99","190831 CU vs LIU 3-0s3","CU","LIU","CU 19","TRUE","TRUE",4,0,16,1,1,23,3,21,27
"100","190831 CU vs LIU 3-0s3","LIU","CU","19","FALSE","FALSE",4,0,16,1,1,23,3,21,27
"101","190831 CU vs UCSB 3-1s1","CU","UCSB","CU 19","TRUE","TRUE",4,0,8,0,5,19,5,12,29
"102","190831 CU vs UCSB 3-1s1","UCSB","CU","19","FALSE","FALSE",4,0,8,0,5,19,5,12,29
"103","190831 CU vs UCSB 3-1s2","CU","UCSB","CU 19","TRUE","TRUE",2,0,6,0,1,28,7,8,36
"104","190831 CU vs UCSB 3-1s2","UCSB","CU","19","FALSE","FALSE",2,0,6,0,1,28,7,8,36
"105","190831 CU vs UCSB 3-1s3","CU","UCSB","CU 19","TRUE","FALSE",3,1,8,0,2,26,6,12,34
"106","190831 CU vs UCSB 3-1s3","UCSB","CU","19","FALSE","TRUE",3,1,8,0,2,26,6,12,34
"107","190831 CU vs UCSB 3-1s4","CU","UCSB","CU 19","TRUE","TRUE",7,0,8,0,0,27,4,15,31
"108","190831 CU vs UCSB 3-1s4","UCSB","CU","19","FALSE","FALSE",7,0,8,0,0,27,4,15,31
"109","190906 CU @ IA 3-0s1","CU","IA","CU 19","TRUE","TRUE",5,0,8,0,1,27,6,13,34
"110","190906 CU @ IA 3-0s1","IA","CU","19","FALSE","FALSE",5,0,8,0,1,27,6,13,34
